,Max,Min,Mean,Std,RMS,Skewness,Kurtosis,P2P,Crest Factor,Variance,Fault,Defect
541,0.42,-0.2,0.125675403,0.081840259,0.149951269,0.086499186,0.398161009,0.22,2.800909942,0.006697828,Healthy,No
542,0.42,-0.1,0.122657201,0.078902614,0.145822143,0.298206812,0.251867082,0.32,2.880221012,0.006225622,Healthy,No
543,0.44,-0.1,0.119908999,0.079457242,0.143823634,0.242733883,0.204398221,0.34,3.059302485,0.006313453,Healthy,No
544,0.97,-0.2,0.124707071,0.08605654,0.151492907,1.178992218,9.599953193,0.77,6.402940021,0.007405728,Healthy,No
545,0.45,-0.1,0.170434343,0.072201502,0.185082837,0.170977765,1.311201042,0.35,2.431343755,0.005213057,Healthy,No
546,0.99,-0.9,0.1270333,0.098654984,0.160811828,0.679949435,24.43566285,0.09,6.156263584,0.009732806,Healthy,No
547,1.08,-0.9,0.122731855,0.093130859,0.154038053,-0.02942553,25.03411698,0.18,7.01125455,0.008673357,Healthy,No
548,0.41,-0.2,0.121979798,0.078787061,0.145190227,0.140308882,0.280772238,0.21,2.823881527,0.006207401,Healthy,No
549,0.45,-0.1,0.125909548,0.081523792,0.149975542,0.31752192,0.276041863,0.35,3.000489232,0.006646129,Healthy,No
550,0.42,-0.1,0.128657921,0.080658371,0.151829077,0.373786327,0.141189147,0.32,2.766268546,0.006505773,Healthy,No
551,0.42,-0.9,0.125779352,0.086369414,0.152553502,-1.487137167,19.40085116,-0.48,2.753132479,0.007459676,Healthy,No
552,0.36,-0.2,0.121041456,0.077819651,0.143877757,0.101471164,0.181275933,0.16,2.502124081,0.006055898,Healthy,No
553,0.45,-0.1,0.129068826,0.080098365,0.151881586,0.456921934,0.389133268,0.35,2.962834479,0.006415748,Healthy,No
555,0.88,-0.2,0.129294355,0.085494384,0.154980488,0.801966744,6.131292444,0.68,5.678134146,0.00730929,Healthy,No
556,0.45,-0.2,0.122406848,0.080757176,0.146623975,-0.024093232,0.463936668,0.25,3.069075157,0.006521721,Healthy,No
